developer,release_year,items_count,items_count_free,free_percent,look_developer
+7 Software,2016.0,1,0.0,0.0,+7software
"+Mpact Games, LLC.",2017.0,1,0.0,0.0,"+mpactgames,llc."
.M.Y.W.,2016.0,1,0.0,0.0,.m.y.w.
.ez Games,2017.0,1,0.0,0.0,.ezgames
07th Expansion,2015.0,2,0.0,0.0,07thexpansion
07th Expansion,2016.0,3,0.0,0.0,07thexpansion
07th Expansion,2017.0,3,0.0,0.0,07thexpansion
08 Games,2016.0,1,0.0,0.0,08games
100 Plus Games llc,2017.0,1,0.0,0.0,100plusgamesllc
100 Stones Interactive,2016.0,1,0.0,0.0,100stonesinteractive
100 Stones Interactive,2017.0,3,0.0,0.0,100stonesinteractive
10101 Software,2016.0,1,0.0,0.0,10101software
10ft Games,2017.0,1,0.0,0.0,10ftgames
10kbit Games,2017.0,4,0.0,0.0,10kbitgames
10ravens s.r.o.,2017.0,1,0.0,0.0,10ravenss.r.o.
"10th Art Studio,Adventure Productions",2014.0,1,0.0,0.0,"10thartstudio,adventureproductions"
10tons Ltd,2012.0,1,0.0,0.0,10tonsltd
10tons Ltd,2014.0,2,0.0,0.0,10tonsltd
10tons Ltd,2015.0,3,0.0,0.0,10tonsltd
10tons Ltd,2016.0,4,0.0,0.0,10tonsltd
10tons Ltd,2017.0,4,0.0,0.0,10tonsltd
10x10 Room,2017.0,2,0.0,0.0,10x10room
11 bit studios,2011.0,1,0.0,0.0,11bitstudios
11 bit studios,2013.0,4,0.0,0.0,11bitstudios
11 bit studios,2014.0,2,0.0,0.0,11bitstudios
11 bit studios,2015.0,1,0.0,0.0,11bitstudios
11 bit studios,2016.0,1,0.0,0.0,11bitstudios
12 East Games,2017.0,1,0.0,0.0,12eastgames
12 Hit Combo,2016.0,1,0.0,0.0,12hitcombo
1337 &amp; Senri AB,2015.0,1,0.0,0.0,1337&amp;senriab
13AM Games,2016.0,4,0.0,0.0,13amgames
14 Dimension Enterprise,2017.0,1,0.0,0.0,14dimensionenterprise
14 Hours Productions,2017.0,2,1.0,50.0,14hoursproductions
14Dimension Enterprise,2015.0,1,0.0,0.0,14dimensionenterprise
14Dimension Enterprise,2016.0,1,0.0,0.0,14dimensionenterprise
14° East,2001.0,1,0.0,0.0,14°east
16 Swans,2017.0,1,0.0,0.0,16swans
16bit Nights,2016.0,2,0.0,0.0,16bitnights
17-BIT,2013.0,1,0.0,0.0,17-bit
17-BIT,2015.0,1,0.0,0.0,17-bit
17Studio,2016.0,1,0.0,0.0,17studio
1888 Games,2016.0,1,0.0,0.0,1888games
1C Company,2004.0,1,0.0,0.0,1ccompany
1C Company,2007.0,1,0.0,0.0,1ccompany
1C Company,2008.0,2,0.0,0.0,1ccompany
1C Company,2009.0,4,0.0,0.0,1ccompany
1C Company,2010.0,3,0.0,0.0,1ccompany
1C Company,2011.0,2,0.0,0.0,1ccompany
