user_id,items_count,money_spent,total_recommend,recommend_percent
76561197970982479,277,3424.31,3.0,1.08
js41637,888,8553.07,3.0,0.34
evcentric,137,1584.9,6.0,4.38
Riot-Punch,328,3377.22,0.0,0.0
doctr,541,6760.32,6.0,1.11
MinxIsBetterThanPotatoes,371,5015.04,0.0,0.0
NitemarePK,304,3104.86,0.0,0.0
themanwich,258,3275.33,0.0,0.0
maplemage,629,7343.0,4.0,0.64
corrupted_soul,115,1123.23,0.0,0.0
jorellpogi,71,133.89,0.0,0.0
cadmusthreepointoh,253,3194.67,0.0,0.0
76561198064823719,55,694.56,0.0,0.0
MeaTCompany,14,184.92,1.0,7.14
76561198089393905,103,1484.11,2.0,1.94
76561198156664158,59,375.75,1.0,1.69
76561198077246154,174,485.7,2.0,1.15
76561198070234207,33,69.95,0.0,0.0
WeiEDKrSat,28,169.87,1.0,3.57
thequeenpanda,524,6728.66,1.0,0.19
death-hunter,121,826.4499999999999,3.0,2.48
turneddreamsintoanempire,96,1127.45,0.0,0.0
DJKamBer,152,1162.92,6.0,3.95
76561198030389591,12,24.98,0.0,0.0
Rainbow-Dashie,59,231.82999999999998,3.0,5.08
btuty8trgt,99,609.5,0.0,0.0
76561198043472122,88,534.62,0.0,0.0
MarbleShrine,185,2650.2999999999997,1.0,0.54
fdcfelipefdc,43,511.75,0.0,0.0
bbaekhyun,77,893.36,0.0,0.0
Moomfina,50,538.66,0.0,0.0
PPanther,62,669.6,1.0,1.61
ABSOLUTLY_NOTHING,196,1691.71,0.0,0.0
devvonst,68,572.56,3.0,4.41
Fr0stedLine,50,527.07,1.0,2.0
76561198058373434,49,184.87,1.0,2.04
76561198048353577,95,676.41,3.0,3.16
76561198072190369,32,209.85999999999999,0.0,0.0
76561198066046412,48,744.6999999999999,1.0,2.08
tru_mu_,62,614.65,1.0,1.61
wirlom,50,279.71999999999997,0.0,0.0
76561198070565427,75,180.83,4.0,5.33
SavageEeEe,32,399.84000000000003,1.0,3.12
76561198076909484,11,55.959999999999994,1.0,9.09
76561198066908262,10,219.88,0.0,0.0
KanadeTheNeko,73,413.59,2.0,2.74
Leaf_Light_Moscow,5,44.980000000000004,1.0,20.0
erickoiv,6,24.98,0.0,0.0
GoAwayZach,59,450.71,1.0,1.69
76561198054540475,106,1085.37,3.0,2.83
76561198100701221,96,237.81,0.0,0.0
76561198085547365,65,579.46,2.0,3.08
76561198061252210,25,94.92999999999999,1.0,4.0
OfficialShroomsy,51,428.7,1.0,1.96
